"2019 rank","City","State","2019 estimate","2010 Census","Change","2016 land area","2016 land area","2016 population density","2016 population density","Location"
"1","New York","New York","8,336,817","8,175,133","+1.98%","301.5 sq mi","780.9 km2","28,317/sq mi","10,933/km2","40°39′49″N 73°56′19″W﻿ / ﻿40.6635°N 73.9387°W﻿ / 40.6635; -73.9387﻿ (1 New York City)"
"2","Los Angeles","California","3,979,576","3,792,621","+4.93%","468.7 sq mi","1,213.9 km2","8,484/sq mi","3,276/km2","34°01′10″N 118°24′39″W﻿ / ﻿34.0194°N 118.4108°W﻿ / 34.0194; -118.4108﻿ (2 Los Angeles)"
"3","Chicago","Illinois","2,693,976","2,695,598","−0.06%","227.3 sq mi","588.7 km2","11,900/sq mi","4,600/km2","41°50′15″N 87°40′54″W﻿ / ﻿41.8376°N 87.6818°W﻿ / 41.8376; -87.6818﻿ (3 Chicago)"
"4","Houston","Texas","2,320,268","2,100,263","+10.48%","637.5 sq mi","1,651.1 km2","3,613/sq mi","1,395/km2","29°47′12″N 95°23′27″W﻿ / ﻿29.7866°N 95.3909°W﻿ / 29.7866; -95.3909﻿ (4 Houston)"
"5","Phoenix","Arizona","1,680,992","1,445,632","+16.28%","517.6 sq mi","1,340.6 km2","3,120/sq mi","1,200/km2","33°34′20″N 112°05′24″W﻿ / ﻿33.5722°N 112.0901°W﻿ / 33.5722; -112.0901﻿ (6 Phoenix)"
"6","Philadelphia","Pennsylvania","1,584,064","1,526,006","+3.80%","134.2 sq mi","347.6 km2","11,683/sq mi","4,511/km2","40°00′34″N 75°08′00″W﻿ / ﻿40.0094°N 75.1333°W﻿ / 40.0094; -75.1333﻿ (5 Philadelphia)"
"7","San Antonio","Texas","1,547,253","1,327,407","+16.56%","461.0 sq mi","1,194.0 km2","3,238/sq mi","1,250/km2","29°28′21″N 98°31′30″W﻿ / ﻿29.4724°N 98.5251°W﻿ / 29.4724; -98.5251﻿ (7 San Antonio)"
"8","San Diego","California","1,423,851","1,307,402","+8.91%","325.2 sq mi","842.3 km2","4,325/sq mi","1,670/km2","32°48′55″N 117°08′06″W﻿ / ﻿32.8153°N 117.1350°W﻿ / 32.8153; -117.1350﻿ (8 San Diego)"
"9","Dallas","Texas","1,343,573","1,197,816","+12.17%","340.9 sq mi","882.9 km2","3,866/sq mi","1,493/km2","32°47′36″N 96°45′59″W﻿ / ﻿32.7933°N 96.7665°W﻿ / 32.7933; -96.7665﻿ (9 Dallas)"
"10","San Jose","California","1,021,795","945,942","+8.02%","177.5 sq mi","459.7 km2","5,777/sq mi","2,231/km2","37°17′48″N 121°49′08″W﻿ / ﻿37.2967°N 121.8189°W﻿ / 37.2967; -121.8189﻿ (10 San Jose)"
"11","Austin","Texas","978,908","790,390","+23.85%","312.7 sq mi","809.9 km2","3,031/sq mi","1,170/km2","30°18′14″N 97°45′16″W﻿ / ﻿30.3039°N 97.7544°W﻿ / 30.3039; -97.7544﻿ (11 Austin)"
"12","Jacksonville","Florida","911,507","821,784","+10.92%","747.4 sq mi","1,935.8 km2","1,178/sq mi","455/km2","30°20′13″N 81°39′42″W﻿ / ﻿30.3369°N 81.6616°W﻿ / 30.3369; -81.6616﻿ (12 Jacksonville)"
"13","Fort Worth","Texas","909,585","741,206","+22.72%","342.9 sq mi","888.1 km2","2,491/sq mi","962/km2","32°46′53″N 97°20′48″W﻿ / ﻿32.7815°N 97.3467°W﻿ / 32.7815; -97.3467﻿ (16 Fort Worth)"
"14","Columbus","Ohio","898,553","787,033","+14.17%","218.5 sq mi","565.9 km2","3,936/sq mi","1,520/km2","39°59′07″N 82°59′05″W﻿ / ﻿39.9852°N 82.9848°W﻿ / 39.9852; -82.9848﻿ (15 Columbus)"
